id;categoria;oferta;titulo;descripcion;precio;precio_ofer;imagen;creada
1;cafeteria;0;Café solo;Café solo;1,50 €;0,00 €;;
2;cafeteria;0;Café con leche;Café con leche;1,50 €;0,00 €;;
3;cafeteria;0;Infusiones;Infusiones;1,50 €;0,00 €;;
4;cafeteria;0;Tostada;Con tomate natural y aceite;1,00 €;0,00 €;;
5;cafeteria;0;Croissant;Croissant;3,00 €;0,00 €;;
6;cafeteria;0;Zumo de naranja;Naranja natural;2,20 €;0,00 €;;
7;cafeteria;0;Tostada;Mantequilla ;0,70 €;0,00 €;;
8;cafeteria;0;Tostada;Con jamón;1,50 €;0,00 €;;
10;cafeteria;0;Desayuno café o infusión;Café o infusión con tostada de tomate y aceite;1,50 €;0,00 €;;
11;cafeteria;0;Desayuno café o infusión;Café o infusión con tostada de jamón;2,50 €;0,00 €;;
12;cafeteria;0;Desayuno café o infusión;Café o infusión con sandwich o croissant mixto;4,50 €;0,00 €;;
13;Bocadillo;0;Bocadillo jamón serrano;Jamón serrano;6,50 €;4,50 €;;
14;Bocadillo;1;Bocadillo lomo;Lomo fresco a la plancha;6,50 €;4,50 €;;
15;Bocadillo;1;Bocadillo pollo;Pechuga de pollo a la plancha;6,50 €;4,50 €;;
16;Bocadillo;0;Bocadillo Chivito;Lechuga, tomate, lomo fresco, queso, beicon, huevo frito ;7,50 €;0,00 €;;
17;Bocadillo;0;Bocadillo Piripi;Lechuga, tomate, lomo fresco, queso, beicon;6,50 €;0,00 €;;
18;Bocadillo;0;Serranito;Pan de mollete, tomate, lomo fresco, pimiento, tortilla francesa, jamón serrano;6,50 €;0,00 €;;
19;Bocadillo;1;Bocadillo Beicon con queso;Beicon con queso;6,50 €;4,50 €;;
20;Bocadillo;0;Bocadillo Sandokan;Lechuga, tomate, lomo empanado y queso;6,50 €;0,00 €;;
21;Bocadillo;1;Bocadillo Calamares;Calamares fritos;6,50 €;4,50 €;;
22;Bocadillo;1;Bocadillo Tortilla francesa;Tortilla francesa;6,00 €;4,50 €;;
23;Bocadillo;1;Bocadillo Atún con tomate;Atún y tomate natural;6,00 €;4,50 €;;
24;Bocadillo;0;Mollete Jamón;Pan de mollete, tomate, jamón serrano a la plancha;6,50 €;0,00 €;;
25;Especial;0;Pollo asado;Patatas fritas  + refresco 2 litros + 3 postres helados;14,00 €;0,00 €;;
26;Hamburguesa;0;Buey;Carne de buey, lechuga, tomate, queso cheddar, beicon;7,50 €;0,00 €;;
27;Hamburguesa;0;Angus;Carne de raza Angus, lechuga, tomate, queso cheddar, beicon;7,50 €;0,00 €;;
28;Hamburguesa;0;Retinta;Carne de raza Retinta, lechuga, tomate, queso rulo cabra, doble de beicon, cebolla caramelizada, patatas deLux;7,50 €;0,00 €;;
29;Hamburguesa;0;Ternera;Carne de ternera, lechuga, tomate, queso, beicon;6,50 €;0,00 €;;
30;Hamburguesa;0;Gallega;Carne de ternera gallega, lechuga, tomate, queso cheddar, beicon, patatas deLuxe;7,50 €;0,00 €;;
31;Hamburguesa;0;Imperial;Carne de baca, salsa barbacoa, doble de queso cheddar, doble de beicon, cebolla crujiente;7,50 €;0,00 €;;
32;Hamburguesa;0;Homer Simpson;Carne de buey, lechuga, tomate, doble de queso cheddar, doble de beicon, huevo frito, cebolla crujiente, salsa barbacoa, patatas deLux;8,00 €;0,00 €;;
33;Hamburguesa;0;Kebab;Doble de carne de pollo de pollo kebaq, lechuga, tomate, doble de queso, doble de beicon, salsa quebak;7,00 €;0,00 €;;
34;Hamburguesa;0;Serrana;Carne de buey, lechuga, tomate, queso manchego, jamón serrano a la plancha;7,50 €;0,00 €;;
35;Hamburguesa;0;Pollo crujiente;Carne de pollo crujiente, lechuga, tomate;7,50 €;0,00 €;;
36;Hamburguesa;0;Pollo mediana;Carne de pollo crujiente, lechuga, tomate;6,00 €;0,00 €;;
37;Hamburguesa;0;Extra cheese beicon;Doble de carne de ternera, doble de queso, doble de beicon;7,50 €;0,00 €;;
38;Tostas;0;Jamón serrano;Pan de tosta, jamón serrano, tomate;6,00 €;0,00 €;;
39;Tostas;0;Solomillo;Pan de tosta, cebolla caramelizada, solomillo de cerdo plancha, queso rulo de cabra;7,00 €;0,00 €;;
40;Tostas;0;Secreto con cheddar;Pan de tosta, queso cheddar, secreto cerdo plancha;7,00 €;0,00 €;;
41;Tostas;0;Pollo miel mostaza;Pan de tosta, tomate triturado, lechuga, pechuga pollo a la plancha, salsa miel-mostaza;6,50 €;0,00 €;;
42;Tostas;0;Salmón;Pan de tosta, queso philadelphia, salmón ahumado, perejil;7,00 €;0,00 €;;
43;Tostas;0;Salmón con tortilla;Pan de tosta, queso philadelphia, tortilla francesa, salmon ahumado, perejil;7,50 €;0,00 €;;
44;Tostas;0;Gulas con gambas;Pan de tosta, tomate triturado, gulas, gambas;6,00 €;0,00 €;;
45;Tostas;0;Gulas con gambas y huevo;Pan de tosta, tomate triturado, gulas, gambas, huevo frito;7,00 €;0,00 €;;
46;Tostas;0;Gambas alioli;Pan de tosta, gambas al ajillo, alioli;6,50 €;0,00 €;;
47;Tostas;0;Anchoas;Pan de tosta, anchoas, tomate natural;6,00 €;0,00 €;;
48;Bocadillo;0;Guitarra Jamón serrano;Ajo, tomate triturado, lechuga, jamón serrano a la plancha;6,50 €;0,00 €;;
49;Bocadillo;0;Guitarra Lomo;Tomate triturado, lechuga, lomo fresco;6,50 €;0,00 €;;
50;Sandwich;1;Mixto;Pan de molde, jamón de york, queso;5,00 €;5,50 €;;
51;Sandwich;1;Vegetal;Pan de molde, tomate, lechuga, atún, huevo cocido, mayonesa;6,00 €;6,50 €;;
52;Sandwich;1;Tintero;Pan de molde, jamón de york, queso, jamón serrano, huevo frito;6,00 €;6,50 €;;
53;Sandwich;1;Club;Pan de molde, jamón york, queso, pechuga de pollo, beicon, lechuga, tomate, mayonesa;6,50 €;7,00 €;;
54;Ensalada;0;César;Lechuga, tomate, pollo, queso manchego, picatostes, salsa cesar;11,00 €;0,00 €;;
55;Ensalada;0;Mixta;Lechuga, tomate, atún, huevo cocido;9,00 €;0,00 €;;
56;Ensalada;0;Ventresca;Lechuga, tomate, huevo cocido, ventresca, vinagre de módena;11,00 €;0,00 €;;
58;Bocadillo;0;Mollete lomo;Pan de mollete, tomate, lomo fresco a la plancha;6,50 €;0,00 €;;
59;Pesca;1;Calamares;Calamares fritos;14,00 €;11,00 €;;
60;Pesca;1;Rejos;Rejos de calamar;14,00 €;11,00 €;;
